exp_id	description	pr_auc	pr_auc_lo	pr_auc_hi	roc_auc	brier	prec_at_top10pct	n_train	n_test	n_pos_test	base_rate_test	status
E00	Baseline XGBoost on 18 features (prior=3d 2024-04, forward=3d 2025-04)	0.9810	0.9801	0.9818	0.8116	0.1436	0.9839	496945	165648	156725	0.9461	BASELINE
E01	Add log1p_stars, log1p_forks as features (H8 family)	0.9810	0.9802	0.9819	0.8120	0.1435	0.9845	496945	165648	156725	0.9461	KEEP_CANDIDATE
E02	Tighter prior filter: require >=5 human commits in 3d window	0.9705	0.9684	0.9726	0.8607	0.1344	0.9842	98864	32954	28867	0.8760	KEEP_CANDIDATE
E03	Require >=2 distinct authors in prior (filter solo hobby)	0.9807	0.9797	0.9814	0.8284	0.1403	0.9829	395721	131907	123903	0.9393	KEEP_CANDIDATE
E04	Relabel: abandoned iff fwd/prior ratio < 0.1 (G-family)	0.9813	0.9804	0.9821	0.8081	0.1455	0.9850	496945	165648	157011	0.9479	KEEP_CANDIDATE
E05	Drop bot_human_ratio>=2 (human-dominated repos only)	0.9815	0.9807	0.9823	0.8139	0.1431	0.9855	491504	163834	155137	0.9469	KEEP_CANDIDATE
E06	max_depth 6->4 (regularize)	0.9806	0.9798	0.9815	0.8095	0.1455	0.9848	496945	165648	156725	0.9461	KEEP_CANDIDATE
E07	learning_rate 0.05->0.03 (slower descent)	0.9808	0.9800	0.9817	0.8111	0.1443	0.9839	496945	165648	156725	0.9461	KEEP_CANDIDATE
E08	Feature subset: activity + distinct_authors only (6 features)	0.9797	0.9788	0.9806	0.8016	0.1491	0.9818	496945	165648	156725	0.9461	KEEP_CANDIDATE
E09	E02 + E04 combined: tighter prior AND activity-drop label	0.9728	0.9709	0.9749	0.8603	0.1338	0.9854	98864	32954	29152	0.8846	KEEP_CANDIDATE
E10	Add commits_per_author ratio feature (B1 proxy)	0.9811	0.9803	0.9820	0.8123	0.1434	0.9851	496945	165648	156725	0.9461	KEEP_CANDIDATE
E11	Tighter prior: >=10 human commits in 3d (vs 5 in E02)	0.9671	0.9636	0.9703	0.8834	0.1321	0.9917	43247	14415	11864	0.8230	RUN
E12	E02 + commits_per_author feature	0.9710	0.9690	0.9731	0.8615	0.1339	0.9860	98864	32954	28867	0.8760	RUN
E13	E02 + log1p_stars + log1p_forks	0.9707	0.9685	0.9727	0.8612	0.1342	0.9851	98864	32954	28867	0.8760	RUN
E14	E02 + commits/issue + prs/issue ratios	0.9708	0.9686	0.9728	0.8616	0.1338	0.9851	98864	32954	28867	0.8760	RUN
E15	E02 + scale_pos_weight=1	0.9708	0.9687	0.9727	0.8612	0.0754	0.9839	98864	32954	28867	0.8760	RUN
E16	Even tighter prior: >=20 human commits	0.9506	0.9445	0.9563	0.8851	0.1366	0.9886	18386	6128	4456	0.7272	RUN
E17	E11 + relabel: fwd/prior<0.1	0.9722	0.9692	0.9752	0.8879	0.1291	0.9910	43247	14415	12142	0.8423	RUN
E18	E11 + commits_per_author	0.9672	0.9637	0.9704	0.8837	0.1313	0.9917	43247	14415	11864	0.8230	RUN
E19	E11 + depth=8 (bigger trees for smaller cohort)	0.9667	0.9631	0.9698	0.8817	0.1409	0.9924	43247	14415	11864	0.8230	RUN
E20	E11 + log1p_stars + log1p_forks	0.9671	0.9635	0.9703	0.8833	0.1321	0.9910	43247	14415	11864	0.8230	RUN
E21	Tightest: >=50 human commits (small elite cohort)	0.8611	0.8400	0.8802	0.7728	0.1934	1.0000	3396	1131	687	0.6074	RUN
E22	E11 with all four derived ratios explicit	0.9672	0.9637	0.9703	0.8835	0.1316	0.9903	43247	14415	11864	0.8230	RUN
